"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"ZIP 20746 (Suitland, MD)","6214","Outpatient care centers","All establishments","All establishments","2023","6","N","N","N"
"ZIP 20746 (Suitland, MD)","6232","Residential intellectual and developmental disability, mental health, and substance abuse facilities","All establishments","All establishments","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","6241","Individual and family services","All establishments","All establishments","2023","6","N","N","N"
"ZIP 20746 (Suitland, MD)","6241","Individual and family services","All establishments","Establishments with less than 5 employees","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","6244","Child day care services","All establishments","All establishments","2023","9","N","N","N"
"ZIP 20746 (Suitland, MD)","6244","Child day care services","All establishments","Establishments with less than 5 employees","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","6244","Child day care services","All establishments","Establishments with 5 to 9 employees","2023","4","N","N","N"
"ZIP 20746 (Suitland, MD)","7211","Traveler accommodation","All establishments","All establishments","2023","7","N","N","N"
"ZIP 20746 (Suitland, MD)","7211","Traveler accommodation","All establishments","Establishments with 10 to 19 employees","2023","4","N","N","N"
"ZIP 20746 (Suitland, MD)","7211","Traveler accommodation","All establishments","Establishments with 20 to 49 employees","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","7223","Special food services","All establishments","All establishments","2023","5","N","N","N"
"ZIP 20746 (Suitland, MD)","7223","Special food services","All establishments","Establishments with less than 5 employees","2023","5","N","N","N"
"ZIP 20746 (Suitland, MD)","7225","Restaurants and other eating places","All establishments","All establishments","2023","34","N","N","N"
"ZIP 20746 (Suitland, MD)","7225","Restaurants and other eating places","All establishments","Establishments with less than 5 employees","2023","10","N","N","N"
"ZIP 20746 (Suitland, MD)","7225","Restaurants and other eating places","All establishments","Establishments with 5 to 9 employees","2023","8","N","N","N"
"ZIP 20746 (Suitland, MD)","7225","Restaurants and other eating places","All establishments","Establishments with 10 to 19 employees","2023","7","N","N","N"
"ZIP 20746 (Suitland, MD)","7225","Restaurants and other eating places","All establishments","Establishments with 20 to 49 employees","2023","6","N","N","N"
"ZIP 20746 (Suitland, MD)","8111","Automotive repair and maintenance","All establishments","All establishments","2023","9","N","N","N"
"ZIP 20746 (Suitland, MD)","8111","Automotive repair and maintenance","All establishments","Establishments with less than 5 employees","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","8111","Automotive repair and maintenance","All establishments","Establishments with 5 to 9 employees","2023","4","N","N","N"
"ZIP 20746 (Suitland, MD)","8121","Personal care services","All establishments","All establishments","2023","5","N","N","N"
"ZIP 20746 (Suitland, MD)","8121","Personal care services","All establishments","Establishments with less than 5 employees","2023","4","N","N","N"
"ZIP 20746 (Suitland, MD)","8122","Death care services","All establishments","All establishments","2023","5","N","N","N"
"ZIP 20746 (Suitland, MD)","8122","Death care services","All establishments","Establishments with 10 to 19 employees","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","8123","Drycleaning and laundry services","All establishments","All establishments","2023","8","N","N","N"
"ZIP 20746 (Suitland, MD)","8123","Drycleaning and laundry services","All establishments","Establishments with 5 to 9 employees","2023","6","N","N","N"
"ZIP 20746 (Suitland, MD)","8129","Other personal services","All establishments","All establishments","2023","4","N","N","N"
"ZIP 20746 (Suitland, MD)","8129","Other personal services","All establishments","Establishments with less than 5 employees","2023","4","N","N","N"
"ZIP 20746 (Suitland, MD)","8131","Religious organizations","All establishments","All establishments","2023","9","N","N","N"
"ZIP 20746 (Suitland, MD)","8131","Religious organizations","All establishments","Establishments with less than 5 employees","2023","4","N","N","N"
"ZIP 20746 (Suitland, MD)","8131","Religious organizations","All establishments","Establishments with 5 to 9 employees","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","8134","Civic and social organizations","All establishments","All establishments","2023","3","N","N","N"
"ZIP 20746 (Suitland, MD)","8139","Business, professional, labor, political, and similar organizations","All establishments","All establishments","2023","15","N","N","N"
"ZIP 20746 (Suitland, MD)","8139","Business, professional, labor, political, and similar organizations","All establishments","Establishments with less than 5 employees","2023","6","N","N","N"
"ZIP 20746 (Suitland, MD)","8139","Business, professional, labor, political, and similar organizations","All establishments","Establishments with 5 to 9 employees","2023","4","N","N","N"
"ZIP 20746 (Suitland, MD)","8139","Business, professional, labor, political, and similar organizations","All establishments","Establishments with 20 to 49 employees","2023","4","N","N","N"
